school	overall_rank	overall_h-index_score	overall_h-index	rank_by_individual	rank_by_individual_h-index_score	rank_by_individual_h-index	num_of_faculty	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22								
CMU	1	23.98	252	10	21.12	10.06	22	86	74	71	68	59	58	54	53	52	50	50	49	46	44	43	36	35	33	31	26	21	12								
UCI	2	91.82	965	1	89.44	42.58	16	59	46	44	42	37	35	34	33	28	20	18	16	11	9	8															
GaTech	3	36.25	381	8	49.38	23.51	14	51	39	35	34	34	29	26	25	21	19	17	14	13	11																
UW	4	30.16	317	7	47.49	22.61	11	60	44	41	40	35	29	25	21	20	15	15	13																		
Cornell	5	28.35	298	3	52.23	24.87	10	82	40	39	36	34	31	29	26	10	8																				
Stanford	6	24.07	253	9	52.12	24.82	5	71	68	61	59	21																									
PSU	7	19.89	209	6	100.00	47.61	6	89	56	49	21	19	8																								
UC Berkeley	8	14.56	153	2	51.38	24.46	6	49	28	28	26	20	15																								
UMich	9	11.13	117	4	47.81	22.77	7	41	37	27	20	15	12	9																							
UMN	10	11.42	120	5	37.49	17.85	5	61	48	18	14	11																									
